Tax	D0-H	D0-P	D14-H	D14-P	D28-H	D28-P	Taxonomy
Sutterella	0.0143691382056	0.00711378517077	0.0142730742978543	0.005234471774909	0.0147584498318814	0.017147407538476	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella
Oscillospira	0.0028313572819	0.00215890992745	0.00307404504891857	0.006409485046895	0.00611775412696857	0.016213059635465	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira
Butyricimonas	0.00212351796142	0.00300831711202	0.0105619738604971	0.005627322597771	0.007341304952351	0.012762342948141	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas
Blautia	0.00169881436914	0.00198195009733	0.00504588315595143	0.0038824986728003	0.0106074778168271	0.008079985843216	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia
Dorea	0.00314988497611	0.00145107060697	0.00262911747604314	0.002427888869226	0.0105821978410763	0.007287205804278	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea
[Eubacterium]	0.000106175898071	0.000176959830119	0.00177465429633271	0.0022084586798792	0.00632504992795428	0.0018014510706066	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]
Coprococcus	0.00605202619005	0.00488409131127	0.00403974012184857	0.00305786586445	0.00329145284020714	0.0021341355512309	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
Turicibacter	3.53919660237e-05	0.000141567864095	5.05599514624286e-06	0.00036807644664611	0.00576889046187	0.0028632100513218	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter
Odoribacter	0.00421164395682	0.00399929216068	0.00272518138382414	0.00016634224031124	0.00489925929671014	7.078393204742e-05	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter
Bilophila	0.00123871881083	0.00120332684481	0.002593725510023	0.0017979118740037	0.00187577419925686	0.004009909750486	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila
Anaerostipes	0.00244204565564	0.00322066890816	0.00226002983037139	0.003624137320826	0.00126399878656143	0.0006405945850296	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes
[Prevotella]	0.00360998053442	0	1.51679854387286e-05	0	5.05599514624286e-06	3.53919660237e-06	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]
Collinsella	0.000106175898071	0	0.000121343883509886	0.00022296938594945	0.00153196652931214	0.0030047779154124	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella
Pseudoramibacter_Eubacterium	0	0	0.000677503349597143	0.0011219253229515	0.00231058978183329	0.0029198371969553	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium
Alistipes	0.00286674924792	0.000990975048664	0.000161791844679771	8.847991505934e-05	0.000247743762166057	0.00020527340293751	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
Megasphaera	0.00230047779154	0.00272518138383	3.03359708774857e-05	7.07839320474e-06	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera
Coprobacillus	0	0	0.002017342063351	0.00058396743939067	0.000955583082639529	0.0011254645195539	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus
Roseburia	0.001486462573	0.00201734206335	1.51679854387286e-05	1.769598301184e-05	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
Desulfovibrio	0.00028313572819	7.07839320474e-05	0.00182521424779357	3.18527694213e-05	0.00189599817984229	6.016634224027e-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio
Haemophilus	0.00155724650504	0.00095558308264	1.01119902924857e-05	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus
Clostridium	0.00120332684481	0.001486462573	1.01119902924857e-05	0.00124933640063794	0	0.0004530171651037	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
Peptococcus	0	0	0	0.00133427711909334	0	0.0004353211820925	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus
Bifidobacterium	0.000814015218545	0.00116793487878	2.02239805849714e-05	0.00015572465050443	5.05599514624286e-05	0.00025836135197317	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
Streptococcus	0.00102636701469	0.000566271456379	2.02239805849571e-05	1.769598301185e-05	3.03359708774857e-05	2.831357281901e-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
